"stime";"flgs";"proto";"saddr";"sport";"dir";"daddr";"dport";"pkts";"bytes";"state";"srcid";"ltime";"seq";"dur";"mean";"stddev";"smac";"dmac";"sum";"min";"max";"soui";"doui";"sco";"dco";"spkts";"dpkts";"sbytes";"dbytes";"rate";"srate";"drate";"record";"attack";"category";"subcategory"
1529284207.046065;"e";"tcp";"192.168.100.150";"36770";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284211.254343;74;4.208278;4.208278;0.0;"";"";4.208278;4.208278;4.208278;"";"";"";"";15;16;1868;3604;7.128806;3.326776;3.564403;"";1;"Theft";"Data_Exfiltration"
1529283934.808648;"e";"arp";"192.168.100.6";"";"who";"192.168.100.149";"";32;1920;"CON";"0.0.0.0";1529285075.81944;11;1141.010742;0.000167;0.000118;"";"";0.002678;7.6e-05;0.000568;"";"";"";"";16;16;960;960;0.027169;0.013146;0.013146;"";1;"Theft";"Data_Exfiltration"
1529284211.237202;"e";"tcp";"192.168.100.150";"36774";"->";"192.168.100.3";"22";8;554;"RST";"0.0.0.0";1529284211.238374;77;0.001172;0.001172;0.0;"";"";0.001172;0.001172;0.001172;"";"";"";"";4;4;294;260;5972.696289;2559.727051;2559.727051;"";1;"Theft";"Data_Exfiltration"
1529284211.2473;"e";"tcp";"192.168.100.150";"36776";"->";"192.168.100.3";"22";6;434;"RST";"0.0.0.0";1529284211.249473;78;0.002173;0.002173;0.0;"";"";0.002173;0.002173;0.002173;"";"";"";"";3;3;228;206;2300.966309;920.386536;920.386536;"";1;"Theft";"Data_Exfiltration"
1529284211.24733;"e";"tcp";"192.168.100.150";"36780";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284213.665054;79;2.417724;2.417724;0.0;"";"";2.417724;2.417724;2.417724;"";"";"";"";15;16;1868;3604;12.408365;5.79057;6.204183;"";1;"Theft";"Data_Exfiltration"
1529284211.247335;"e";"tcp";"192.168.100.150";"36778";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284213.666484;80;2.419149;2.419149;0.0;"";"";2.419149;2.419149;2.419149;"";"";"";"";15;16;1868;3604;12.401055;5.787159;6.200528;"";1;"Theft";"Data_Exfiltration"
1529284211.247401;"e";"tcp";"192.168.100.150";"36782";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284213.667171;81;2.41977;2.41977;0.0;"";"";2.41977;2.41977;2.41977;"";"";"";"";15;16;1868;3604;12.397873;5.785674;6.198936;"";1;"Theft";"Data_Exfiltration"
1529284211.247492;"e";"tcp";"192.168.100.150";"36786";"->";"192.168.100.3";"22";30;5406;"FIN";"0.0.0.0";1529284213.646715;82;2.399223;2.399223;0.0;"";"";2.399223;2.399223;2.399223;"";"";"";"";14;16;1802;3604;12.087246;5.418421;6.252024;"";1;"Theft";"Data_Exfiltration"
1529284211.247495;"e";"tcp";"192.168.100.150";"36784";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284213.66439;83;2.416895;2.416895;0.0;"";"";2.416895;2.416895;2.416895;"";"";"";"";15;16;1868;3604;12.412621;5.792556;6.20631;"";1;"Theft";"Data_Exfiltration"
1529284211.247519;"e";"tcp";"192.168.100.150";"36788";"->";"192.168.100.3";"22";6;434;"RST";"0.0.0.0";1529284211.250454;84;0.002935;0.002935;0.0;"";"";0.002935;0.002935;0.002935;"";"";"";"";3;3;228;206;1703.577515;681.43103;681.43103;"";1;"Theft";"Data_Exfiltration"
1529284211.247598;"e";"tcp";"192.168.100.150";"36790";"->";"192.168.100.3";"22";31;5488;"FIN";"0.0.0.0";1529284213.645314;85;2.397716;2.397716;0.0;"";"";2.397716;2.397716;2.397716;"";"";"";"";15;16;1884;3604;12.511907;5.83889;6.255953;"";1;"Theft";"Data_Exfiltration"
1529284211.247599;"e";"tcp";"192.168.100.150";"36792";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284213.638;86;2.390401;2.390401;0.0;"";"";2.390401;2.390401;2.390401;"";"";"";"";15;16;1868;3604;12.550196;5.856758;6.275098;"";1;"Theft";"Data_Exfiltration"
1529284211.247656;"e";"tcp";"192.168.100.150";"36794";"->";"192.168.100.3";"22";33;5796;"FIN";"0.0.0.0";1529284215.363726;87;4.11607;4.11607;0.0;"";"";4.11607;4.11607;4.11607;"";"";"";"";15;18;1980;3816;7.774406;3.401303;4.130154;"";1;"Theft";"Data_Exfiltration"
1529284211.24773;"e";"tcp";"192.168.100.150";"36796";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284213.637216;88;2.389486;2.389486;0.0;"";"";2.389486;2.389486;2.389486;"";"";"";"";15;16;1868;3604;12.555001;5.859001;6.277501;"";1;"Theft";"Data_Exfiltration"
1529284211.24781;"e";"tcp";"192.168.100.150";"36798";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284213.646134;89;2.398324;2.398324;0.0;"";"";2.398324;2.398324;2.398324;"";"";"";"";15;16;1868;3604;12.508736;5.83741;6.254368;"";1;"Theft";"Data_Exfiltration"
1529284211.247902;"e";"tcp";"192.168.100.150";"36800";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284213.647374;90;2.399472;2.399472;0.0;"";"";2.399472;2.399472;2.399472;"";"";"";"";15;16;1868;3604;12.50275;5.834617;6.251375;"";1;"Theft";"Data_Exfiltration"
1529284211.261155;"e";"tcp";"192.168.100.150";"36802";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284213.653237;91;2.392082;2.392082;0.0;"";"";2.392082;2.392082;2.392082;"";"";"";"";15;16;1868;3604;12.541376;5.852642;6.270688;"";1;"Theft";"Data_Exfiltration"
1529284211.262297;"e";"tcp";"192.168.100.150";"36804";"->";"192.168.100.3";"22";6;434;"RST";"0.0.0.0";1529284211.268066;92;0.005769;0.005769;0.0;"";"";0.005769;0.005769;0.005769;"";"";"";"";3;3;228;206;866.701355;346.680542;346.680542;"";1;"Theft";"Data_Exfiltration"
1529284211.272403;"e";"tcp";"192.168.100.150";"36806";"->";"192.168.100.3";"22";6;434;"RST";"0.0.0.0";1529284211.276616;93;0.004213;0.004213;0.0;"";"";0.004213;0.004213;0.004213;"";"";"";"";3;3;228;206;1186.802734;474.721069;474.721069;"";1;"Theft";"Data_Exfiltration"
1529284211.277826;"e";"tcp";"192.168.100.150";"36808";"->";"192.168.100.3";"22";31;5488;"FIN";"0.0.0.0";1529284213.667895;94;2.390069;2.390069;0.0;"";"";2.390069;2.390069;2.390069;"";"";"";"";15;16;1884;3604;12.551939;5.857572;6.27597;"";1;"Theft";"Data_Exfiltration"
1529284211.288063;"e";"tcp";"192.168.100.150";"36810";"->";"192.168.100.3";"22";31;5488;"FIN";"0.0.0.0";1529284213.665732;95;2.377669;2.377669;0.0;"";"";2.377669;2.377669;2.377669;"";"";"";"";15;16;1884;3604;12.617399;5.88812;6.3087;"";1;"Theft";"Data_Exfiltration"
1529284212.236307;"e";"tcp";"192.168.100.149";"40279";"->";"192.168.100.6";"135";10;808;"FIN";"0.0.0.0";1529284212.237262;97;0.000955;0.000955;0.0;"";"";0.000955;0.000955;0.000955;"";"";"";"";6;4;476;332;9424.083984;5235.602051;3141.361328;"";1;"Theft";"Data_Exfiltration"
1529284207.257507;"e";"tcp";"192.168.100.150";"36772";"->";"192.168.100.3";"22";34;5846;"FIN";"0.0.0.0";1529284213.385463;75;6.127956;1.997054;1.992679;"";"";3.994108;0.004375;3.989733;"";"";"";"";16;18;2030;3816;5.385156;2.447798;2.774171;"";1;"Theft";"Data_Exfiltration"
1529284213.381186;"e";"tcp";"192.168.100.150";"36812";"->";"192.168.100.3";"22";30;5422;"FIN";"0.0.0.0";1529284215.241214;98;1.860028;1.860028;0.0;"";"";1.860028;1.860028;1.860028;"";"";"";"";14;16;1818;3604;15.591163;6.989142;8.064395;"";1;"Theft";"Data_Exfiltration"
1529284207.03325;"e d";"tcp";"192.168.100.150";"36762";"->";"192.168.100.3";"22";34;5846;"FIN";"0.0.0.0";1529284213.392271;70;6.359021;2.107729;2.106623;"";"";4.215458;0.001106;4.214352;"";"";"";"";16;18;2030;3816;5.189478;2.358854;2.673368;"";1;"Theft";"Data_Exfiltration"
1529284213.391624;"e";"tcp";"192.168.100.150";"36814";"->";"192.168.100.3";"22";30;5422;"FIN";"0.0.0.0";1529284215.248345;99;1.856721;1.856721;0.0;"";"";1.856721;1.856721;1.856721;"";"";"";"";14;16;1818;3604;15.618932;7.00159;8.078758;"";1;"Theft";"Data_Exfiltration"
1529284213.631257;"e";"tcp";"192.168.100.150";"36816";"->";"192.168.100.3";"22";30;5422;"FIN";"0.0.0.0";1529284215.568957;100;1.9377;1.9377;0.0;"";"";1.9377;1.9377;1.9377;"";"";"";"";14;16;1818;3604;14.966197;6.708985;7.741136;"";1;"Theft";"Data_Exfiltration"
1529284213.631351;"e";"tcp";"192.168.100.150";"36818";"->";"192.168.100.3";"22";6;434;"RST";"0.0.0.0";1529284213.632453;101;0.001102;0.001102;0.0;"";"";0.001102;0.001102;0.001102;"";"";"";"";3;3;228;206;4537.205078;1814.881958;1814.881958;"";1;"Theft";"Data_Exfiltration"
1529284213.641345;"e";"tcp";"192.168.100.150";"36820";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284215.620214;102;1.978869;1.978869;0.0;"";"";1.978869;1.978869;1.978869;"";"";"";"";15;16;1868;3604;15.160175;7.074749;7.580088;"";1;"Theft";"Data_Exfiltration"
1529284213.641375;"e";"tcp";"192.168.100.150";"36822";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284215.621162;103;1.979787;1.979787;0.0;"";"";1.979787;1.979787;1.979787;"";"";"";"";15;16;1868;3604;15.153146;7.071468;7.576573;"";1;"Theft";"Data_Exfiltration"
1529284213.641476;"e";"tcp";"192.168.100.150";"36824";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284215.604612;104;1.963136;1.963136;0.0;"";"";1.963136;1.963136;1.963136;"";"";"";"";15;16;1868;3604;15.281672;7.131447;7.640836;"";1;"Theft";"Data_Exfiltration"
1529284213.641702;"e";"tcp";"192.168.100.150";"36826";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284215.625015;105;1.983313;1.983313;0.0;"";"";1.983313;1.983313;1.983313;"";"";"";"";15;16;1868;3604;15.126205;7.058896;7.563103;"";1;"Theft";"Data_Exfiltration"
1529284213.652187;"e";"tcp";"192.168.100.150";"36828";"->";"192.168.100.3";"22";6;434;"RST";"0.0.0.0";1529284213.653896;106;0.001709;0.001709;0.0;"";"";0.001709;0.001709;0.001709;"";"";"";"";3;3;228;206;2925.6875;1170.275024;1170.275024;"";1;"Theft";"Data_Exfiltration"
1529284213.662376;"e";"tcp";"192.168.100.150";"36830";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284215.62417;107;1.961794;1.961794;0.0;"";"";1.961794;1.961794;1.961794;"";"";"";"";15;16;1868;3604;15.292126;7.136325;7.646063;"";1;"Theft";"Data_Exfiltration"
1529284213.662412;"e";"tcp";"192.168.100.150";"36832";"->";"192.168.100.3";"22";31;5488;"FIN";"0.0.0.0";1529284215.622016;108;1.959604;1.959604;0.0;"";"";1.959604;1.959604;1.959604;"";"";"";"";15;16;1884;3604;15.309216;7.1443;7.654608;"";1;"Theft";"Data_Exfiltration"
1529284213.662454;"e";"tcp";"192.168.100.150";"36834";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284215.618756;109;1.956302;1.956302;0.0;"";"";1.956302;1.956302;1.956302;"";"";"";"";15;16;1868;3604;15.335055;7.156359;7.667528;"";1;"Theft";"Data_Exfiltration"
1529284213.662498;"e";"tcp";"192.168.100.150";"36836";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284215.622698;110;1.9602;1.9602;0.0;"";"";1.9602;1.9602;1.9602;"";"";"";"";15;16;1868;3604;15.304561;7.142128;7.65228;"";1;"Theft";"Data_Exfiltration"
1529284213.66258;"e";"tcp";"192.168.100.150";"36838";"->";"192.168.100.3";"22";30;5406;"FIN";"0.0.0.0";1529284215.623466;111;1.960886;1.960886;0.0;"";"";1.960886;1.960886;1.960886;"";"";"";"";14;16;1802;3604;14.789233;6.629656;7.649603;"";1;"Theft";"Data_Exfiltration"
